,url
0,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=2CC558
1,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=TC2966
2,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=2CC556
3,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=2CC557
4,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=YU8403
5,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=TC2965
6,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=2CC559
7,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=4G3005
8,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=3FA132
9,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=9L0461
10,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=1A5375
11,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=8W0097
12,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=ZG5309
13,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=1C6095
14,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=PL1044
15,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=1C4732
16,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=2GM317
17,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=1C4733
18,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=7Y7000
19,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=XQ0682
20,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=3E7824
21,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=3T3847
22,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=3FA133
23,https://usa.ingrammicro.com/_layouts/CommerceServer/IM/ProductDetails.aspx?id=6B3125
